TAP;type;arath;carpa;glyma;medtr;poptr;ricco;vitvi;orysa;sorbi;zeama;selmo;phypa;volca;chlre;chlsp;micp1;micp2;ostlu;ostta;cyame;guith;auran;phatr;thaps;ectsi;phyra;physo;emihu;plafa;trycr;naegr;enthi;giala;dicdi;dicpu;monbr;enccu;batde;botci;picst;sacce;schpo;phybl;rhior;copci;lacbi;phach;gloil;caeel;drome;fugru;homsa;nemve;xentr
ABI3/VP1;TF;58;32;67;83;83;32;21;52;54;60;16;32;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alfin-like;TF;7;4;18;3;9;5;6;9;16;20;3;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1
AP2/EREBP;TF;146;95;361;117;210;114;124;162;161;273;57;149;21;12;14;11;13;9;7;0;0;9;1;11;6;0;1;188;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ARF;TF;23;11;57;17;37;18;19;25;25;45;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argonaute;TR;10;7;20;7;15;9;15;18;18;15;7;6;2;3;0;0;0;0;0;0;0;0;0;1;1;3;6;1;0;0;2;4;0;5;2;0;0;2;1;0;0;1;2;2;7;6;4;0;27;10;7;10;6;8
ARID;TF;10;7;19;14;13;10;10;5;4;7;6;7;2;3;3;2;3;1;1;3;0;0;0;0;2;2;2;1;0;0;1;0;1;2;1;1;0;3;4;1;2;2;4;2;2;2;1;0;5;10;16;22;6;14
AS2/LOB;TF;43;35;92;28;57;33;45;36;36;68;15;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aux/IAA;TR;27;20;62;9;33;19;23;29;26;47;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBR/BPC;TF;7;2;10;3;16;4;2;4;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BES1;TF;8;6;16;1;12;7;6;6;7;7;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bHLH;TF;136;87;291;83;159;106;102;143;148;203;46;101;2;3;2;2;2;1;1;1;0;0;5;5;3;6;6;0;0;0;0;0;0;0;0;15;0;9;9;8;7;4;38;52;10;16;11;12;54;75;143;149;72;93
bHSH;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;6;1;5
BSD domain containing;PT;11;8;17;5;12;9;7;10;9;13;5;8;3;1;3;1;2;2;2;0;0;0;2;1;3;5;4;6;4;2;2;0;0;3;3;1;0;2;2;2;2;2;3;2;2;1;0;0;3;11;4;3;2;3
bZIP;TF;70;41;125;52;86;48;45;85;89;132;22;37;11;6;8;7;10;8;7;3;0;2;11;14;14;16;12;5;0;0;3;8;1;19;11;14;1;12;11;8;12;6;39;48;10;9;10;15;39;50;54;70;31;37
C2C2_CO-like;TF;17;8;20;7;16;10;12;17;15;25;4;11;2;1;1;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2C2_Dof;TF;36;20;79;23;41;23;26;30;30;51;31;21;1;1;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2C2_GATA;TF;26;20;50;28;30;16;16;23;27;42;5;8;9;8;10;8;5;10;4;6;0;0;0;0;0;0;0;1;0;0;4;2;0;19;21;2;2;7;6;9;10;5;32;32;10;12;7;10;12;8;14;9;2;10
C2C2_YABBY;TF;6;7;17;7;13;6;7;7;6;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2H2;TF;106;80;246;91;124;90;79;111;116;188;40;61;8;6;6;13;15;4;4;8;0;9;4;6;19;36;57;42;11;27;11;30;6;27;18;78;8;42;61;41;39;22;181;121;64;62;42;44;181;353;456;906;231;603
C3H;TF;67;46;149;61;98;53;59;68;57;97;46;45;23;15;29;19;26;21;18;7;0;15;15;18;20;27;29;57;32;77;13;20;4;20;20;18;7;15;15;7;7;8;22;24;21;26;18;16;41;34;51;70;33;42
CAMTA;TF;6;2;13;4;7;4;4;6;7;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1
CCAAT_Dr1;TF;3;1;3;1;4;2;2;1;2;2;1;2;0;2;1;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;1;0;0;1;0;0;1;1;1;2;1;1;1;1;1;1;1;1;1;1
CCAAT_HAP2;TF;10;5;22;3;11;6;5;11;9;15;1;1;0;0;1;1;1;1;0;0;0;0;1;0;1;2;1;2;0;0;1;2;0;1;0;0;1;1;1;1;1;1;2;2;1;0;1;1;2;1;1;2;2;1
CCAAT_HAP3;TF;10;10;34;11;17;12;12;12;11;17;6;7;3;1;1;2;3;1;1;1;0;3;2;3;3;1;1;3;0;0;3;4;1;2;2;0;2;2;3;3;1;2;2;2;2;2;1;1;2;3;2;2;2;1
CCAAT_HAP5;TF;14;4;23;10;19;11;8;16;14;17;4;9;2;2;2;3;3;3;2;3;0;3;2;1;4;2;2;1;2;0;3;4;0;5;4;1;2;3;2;3;3;2;4;3;3;2;2;3;4;5;4;4;3;2
Coactivator p15;TR;3;3;5;1;3;2;2;2;2;4;2;2;1;1;1;2;1;1;1;1;0;0;1;1;3;1;1;0;0;0;1;2;0;2;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;3;0;1
CPP;TF;8;4;12;7;12;6;6;11;8;18;4;6;2;1;3;2;1;2;2;2;0;2;4;5;4;3;3;4;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;1;1
CSD;TF;4;3;7;2;7;5;3;3;2;6;4;3;2;1;3;1;4;3;4;0;0;11;5;5;1;1;1;26;2;5;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;6;5;7;9;3;6
CudA;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;10;0;6
DBP;TF;1;0;3;1;4;1;3;3;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DDT;TR;4;5;11;4;5;3;6;6;5;4;5;3;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;2;0;2;2;1;1;0;0;3;4;4;6;3;3
Dicer;TR;3;0;4;2;3;2;2;1;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1
