TAP;type;arath;carpa;glyma;medtr;poptr;ricco;vitvi;orysa;sorbi;zeama;selmo;phypa;volca;chlre;chlsp;micp1;micp2;ostlu;ostta;cyame
ABI3/VP1;TF;58;32;67;83;83;32;21;52;54;60;16;32;1;1;2;1;1;0;0;0
Alfin-like;TF;7;4;18;3;9;5;6;9;16;20;3;7;1;1;1;0;0;0;0;0
AP2/EREBP;TF;146;95;361;117;210;114;124;162;161;273;57;149;21;12;14;11;13;9;7;0
ARF;TF;23;11;57;17;37;18;19;25;25;45;7;13;0;0;0;0;0;0;0;0
Argonaute;TR;10;7;20;7;15;9;15;18;18;15;7;6;2;3;0;0;0;0;0;0
ARID;TF;10;7;19;14;13;10;10;5;4;7;6;7;2;3;3;2;3;1;1;3
AS2/LOB;TF;43;35;92;28;57;33;45;36;36;68;15;30;0;0;0;0;0;0;0;0
Aux/IAA;TR;27;20;62;9;33;19;23;29;26;47;4;2;0;0;0;0;0;0;0;0
BBR/BPC;TF;7;2;10;3;16;4;2;4;5;6;1;0;0;0;0;0;0;0;0;0
BES1;TF;8;6;16;1;12;7;6;6;7;7;5;6;0;0;0;0;0;0;0;0
bHLH;TF;136;87;291;83;159;106;102;143;148;203;46;101;2;3;2;2;2;1;1;1
bHSH;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSD domain containing;PT;11;8;17;5;12;9;7;10;9;13;5;8;3;1;3;1;2;2;2;0
bZIP;TF;70;41;125;52;86;48;45;85;89;132;22;37;11;6;8;7;10;8;7;3
C2C2_CO-like;TF;17;8;20;7;16;10;12;17;15;25;4;11;2;1;1;0;1;2;3;0
C2C2_Dof;TF;36;20;79;23;41;23;26;30;30;51;31;21;1;1;1;1;0;2;2;0
C2C2_GATA;TF;26;20;50;28;30;16;16;23;27;42;5;8;9;8;10;8;5;10;4;6
C2C2_YABBY;TF;6;7;17;7;13;6;7;7;6;17;0;0;0;0;0;0;0;0;0;0
C2H2;TF;106;80;246;91;124;90;79;111;116;188;40;61;8;6;6;13;15;4;4;8
C3H;TF;67;46;149;61;98;53;59;68;57;97;46;45;23;15;29;19;26;21;18;7
CAMTA;TF;6;2;13;4;7;4;4;6;7;7;1;1;0;0;0;0;0;0;0;0
CCAAT_Dr1;TF;3;1;3;1;4;2;2;1;2;2;1;2;0;2;1;0;0;2;2;0
CCAAT_HAP2;TF;10;5;22;3;11;6;5;11;9;15;1;1;0;0;1;1;1;1;0;0
CCAAT_HAP3;TF;10;10;34;11;17;12;12;12;11;17;6;7;3;1;1;2;3;1;1;1
CCAAT_HAP5;TF;14;4;23;10;19;11;8;16;14;17;4;9;2;2;2;3;3;3;2;3
Coactivator p15;TR;3;3;5;1;3;2;2;2;2;4;2;2;1;1;1;2;1;1;1;1
CPP;TF;8;4;12;7;12;6;6;11;8;18;4;6;2;1;3;2;1;2;2;2
CSD;TF;4;3;7;2;7;5;3;3;2;6;4;3;2;1;3;1;4;3;4;0
CudA;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DBP;TF;1;0;3;1;4;1;3;3;2;6;2;0;0;0;0;0;0;0;0;0
DDT;TR;4;5;11;4;5;3;6;6;5;4;5;3;0;0;0;0;0;0;0;1
Dicer;TR;3;0;4;2;3;2;2;1;3;1;3;1;0;0;0;0;0;0;0;0
DUF246 domain containing;PT;32;29;66;25;44;25;24;28;27;46;20;25;0;0;0;0;0;0;0;0
DUF296 domain containing;PT;31;21;81;32;38;22;20;27;26;47;6;13;0;0;0;1;0;1;1;0
DUF547 domain containing;PT;16;11;27;7;16;10;15;15;15;24;6;10;1;1;1;2;2;2;2;4
DUF632 domain containing;PT;16;15;34;12;23;14;13;21;18;27;6;6;0;0;0;0;0;0;0;0
DUF833 domain containing;PT;4;1;4;1;2;2;2;2;2;2;2;1;0;0;1;0;1;1;1;0
E2F/DP;TF;8;6;14;10;10;6;6;9;11;19;4;10;3;3;3;3;4;3;3;5
EIL;TF;6;3;13;11;6;4;4;9;7;11;6;2;0;0;0;0;0;0;0;0
FHA;TF;17;13;31;10;19;16;14;18;15;14;9;15;11;12;13;11;11;9;7;2
GARP_ARR-B;TF;13;10;24;6;15;9;11;9;9;11;6;5;1;1;1;1;1;1;1;0
GARP_G2-like;TF;40;37;92;26;65;34;39;45;47;68;19;42;4;4;7;3;2;2;2;1
GeBP;TF;20;4;14;6;7;4;3;6;7;13;0;0;0;0;0;0;0;0;0;0
GIF;TR;3;2;7;1;5;2;3;3;3;5;3;4;1;1;1;1;1;1;1;0
GNAT;TR;31;28;67;26;55;44;32;37;35;52;26;42;33;28;35;30;33;23;26;19
GRAS;TF;33;38;118;41;99;45;46;56;73;94;48;39;0;0;0;0;0;0;0;0
GRF;TF;9;6;19;5;9;9;7;11;7;15;4;2;0;0;0;0;0;0;0;0
HB;TF;62;38;148;42;87;42;49;58;39;101;20;23;0;1;2;10;7;5;5;5
HB_KNOX;TF;8;7;28;6;13;7;9;12;9;20;4;3;0;0;0;0;0;0;0;0
HD-Zip;TF;21;16;52;12;28;17;20;24;23;40;5;17;0;0;0;0;0;0;0;0
HMG;TR;11;8;21;2;12;9;7;9;9;15;6;9;9;7;5;9;8;7;5;0
HRT;TF;2;2;1;2;1;1;1;1;1;2;0;3;0;0;0;0;0;0;0;0
HSF;TF;23;18;56;17;31;19;19;25;24;38;7;8;2;2;1;4;6;1;1;3
IWS1;TR;2;1;2;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;0
Jumonji;TR;6;5;11;4;9;5;3;4;6;9;3;2;0;0;2;1;2;0;1;0
LFY;TF;1;1;2;1;1;1;1;1;1;2;1;2;0;0;0;0;0;0;0;0
LIM;TF;6;4;19;4;14;6;5;6;5;11;3;3;0;0;0;1;1;1;1;1
LUG;TR;2;3;9;1;5;4;3;5;5;5;2;1;0;0;0;0;0;0;0;0
MADS;TF;104;201;185;73;111;39;60;65;70;92;17;22;1;2;0;1;1;1;1;1
MBF1;TR;3;2;3;2;3;2;3;2;2;4;1;3;1;1;1;0;0;0;0;0
MED6;TR;1;1;1;0;1;1;1;1;1;2;1;1;0;1;1;0;0;0;0;1
MED7;TR;2;1;2;0;2;1;1;1;1;1;2;1;1;0;1;1;1;1;1;0
mTERF;TF;34;21;50;17;51;30;21;30;32;29;11;13;3;1;2;3;2;1;1;1
MYB-related;TF;62;61;175;64;94;88;63;62;78;104;41;43;12;9;6;13;12;13;16;19
MYB;TF;147;76;323;105;217;65;137;133;130;203;27;64;19;15;12;10;16;13;10;13
NAC;TF;106;77;181;62;169;92;79;137;121;155;20;32;0;0;0;0;0;0;0;0
NZZ;TF;1;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
OFP;TR;18;10;41;12;26;16;11;31;36;55;6;8;0;0;0;0;0;0;0;0
PcG_EZ;TR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PcG_FIE;TR;1;1;4;0;1;1;1;2;2;3;1;1;1;1;1;1;1;1;1;1
PcG_VEFS;TR;4;2;5;1;4;2;3;2;3;2;1;3;0;0;1;0;1;1;1;1
PHD;TR;45;43;86;36;69;42;44;48;50;53;33;46;16;10;21;22;15;13;10;7
PLATZ;TF;11;9;29;11;20;11;9;15;16;21;12;13;3;4;2;2;1;1;1;1
Pseudo ARR-B;TF;5;4;8;3;7;6;5;5;4;3;1;2;0;2;1;1;0;2;1;0
RB;TF;1;1;3;1;1;2;2;2;4;7;2;2;0;1;2;1;1;1;1;1
Rcd1-like;TR;3;2;4;5;3;2;2;5;3;3;1;3;1;2;1;1;1;1;1;1
Rel;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RF-X;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RRN3;TR;3;0;2;0;1;1;1;1;1;0;1;2;1;0;0;0;0;1;1;0
Runt;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RWP-RK;TF;14;5;23;6;18;10;8;12;14;22;16;8;9;14;8;4;5;3;4;1
S1Fa-like;TF;3;1;4;3;2;1;2;2;0;1;0;1;0;0;0;0;0;0;0;0
SAP;TF;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SBP;TF;16;11;48;14;29;15;18;19;19;36;11;14;20;21;31;2;3;0;0;0
SET;TR;33;20;61;25;44;28;31;30;39;53;36;26;16;13;15;18;16;16;10;6
Sigma70-like;TF;6;3;12;4;9;5;6;6;6;10;3;6;1;1;1;2;1;1;1;4
Sin3;TR;22;5;11;24;12;2;3;3;5;6;2;6;1;1;2;2;2;2;2;1
Sir2;TF;2;2;5;2;3;2;2;2;2;2;4;6;3;2;4;4;4;1;1;3
SOH1;TR;1;1;2;0;2;0;0;2;2;1;1;1;1;0;1;1;1;1;1;0
SRS;TF;10;4;21;7;10;5;4;5;6;15;4;2;0;0;0;0;0;0;0;0
SWI/SNF_BAF60b;TR;17;11;28;12;21;12;14;12;13;25;6;7;1;2;2;1;1;0;0;2
SWI/SNF_SNF2;TR;36;22;58;23;47;29;32;38;38;37;31;35;26;18;18;22;23;20;20;13
SWI/SNF_SWI3;TR;5;6;7;4;7;5;5;4;3;5;2;5;0;0;0;1;0;2;1;1
TAZ;TF;7;5;5;5;5;4;3;4;4;8;3;5;4;2;1;1;1;1;1;0
TCP;TF;24;21;61;13;34;21;19;22;27;54;6;6;0;0;0;0;0;0;0;0
TEA;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TFb2;TR;1;1;2;2;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0
tify;TF;18;13;34;21;23;14;15;20;19;52;12;16;0;0;0;0;0;0;0;0
TRAF;TR;41;27;70;27;41;27;30;123;118;69;17;34;20;28;4;3;3;2;2;2
Trihelix;TF;22;23;56;14;41;23;27;16;19;39;19;21;0;0;0;0;0;0;0;0
TUB;TF;10;6;24;15;11;7;7;14;13;21;6;6;3;2;2;1;1;1;1;0
ULT;TF;2;3;14;0;2;2;1;2;1;3;0;0;0;0;0;0;0;0;0;0
VARL;TF;0;0;0;0;0;0;0;0;0;0;0;0;13;9;0;0;0;0;0;0
VOZ;TF;2;2;7;1;4;2;2;2;2;5;0;2;0;0;0;0;0;0;0;0
Whirly;TF;3;2;6;2;3;2;2;2;2;3;1;0;1;1;1;1;1;1;1;0
WRKY;TF;72;49;193;72;104;57;59;103;94;159;19;37;2;1;1;2;2;1;2;0
zf_HD;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zinc finger, AN1 and A20 type;TR;11;5;20;5;18;8;8;16;15;13;6;9;2;1;1;1;0;0;0;1
Zinc finger, MIZ type;TF;5;1;10;4;6;4;9;7;4;5;2;6;2;0;1;2;1;1;1;3
Zinc finger, ZPR1;TR;2;1;3;2;1;1;2;1;1;1;1;2;1;1;1;1;0;1;0;1
Zn_clus;TF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
